Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::_has_compatible_shallow_copy_type,,,1.54,1.54,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.94,0.94,0,0,0,0
aten::to,,,2.71,1119.61,0,0,0,0
aten::_to_copy,,,9.22,1116.9,0,0,0,0
aten::empty_strided,,,11.77,18.03,0,0,0,0
empty_tensor,,,6.26,6.26,0,0,0,0
aten::copy_,,,1089.65,1089.65,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.16,2.16,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.1,1.1,0,0,0,0
aten::to,,,2.55,79.14,0,0,0,0
aten::_to_copy,,,7.59,76.59,0,0,0,0
aten::empty_strided,,,11.36,17.72,0,0,0,0
empty_tensor,,,6.36,6.36,0,0,0,0
aten::copy_,,,51.28,51.28,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.56,1.56,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.76,1.76,0,0,0,0
aten::to,,,2.36,72.81,0,0,0,0
aten::_to_copy,,,7.26,70.45,0,0,0,0
aten::empty_strided,,,10.69,16.84,0,0,0,0
empty_tensor,,,6.15,6.15,0,0,0,0
aten::copy_,,,46.35,46.35,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.46,1.46,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.61,1.61,0,0,0,0
aten::to,,,1.99,70.3,0,0,0,0
aten::_to_copy,,,6.43,68.31,0,0,0,0
aten::empty_strided,,,9.96,15.41,0,0,0,0
empty_tensor,,,5.45,5.45,0,0,0,0
aten::copy_,,,46.47,46.47,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.55,1.55,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.12,1.12,0,0,0,0
aten::to,,,2.71,198.33,0,0,0,0
aten::_to_copy,,,6.78,195.62,0,0,0,0
aten::empty_strided,,,10.25,15.99,0,0,0,0
empty_tensor,,,5.74,5.74,0,0,0,0
aten::copy_,,,172.85,172.85,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.81,1.81,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.77,0.77,0,0,0,0
aten::to,,,2.37,69.16,0,0,0,0
aten::_to_copy,,,6.7,66.79,0,0,0,0
aten::empty_strided,,,11.14,17.44,0,0,0,0
