Step Id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,4479,2,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1753145999159694.026	,8.060,127.650000,24,0,NO,"""900,256;256,256;256""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""900,256""",FLOAT,ND,N/A,6.336,273696,1.405,0.222,5.335,0.842,0.95,0.15,2.242,0.354,0.326,0.051,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.605
0,4294967295,4480,2,aclnnRelu_Relu_Relu,Relu,dynamic,AI_VECTOR_CORE,1753145999159749.067	,2.900,46.940000,48,0,NO,"""1,900,256""",FLOAT,NCL,"""1,900,256""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.549,133862,0.064,0.041,0.803,0.518,0.354,0.228,0.299,0.193,0.0,0.000
0,4294967295,4481,2,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1753145999159856.429	,8.400,104.600000,24,0,NO,"""900,256;256,256;256""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""900,256""",FLOAT,ND,N/A,7.081,305903,1.404,0.198,5.838,0.824,0.961,0.136,2.736,0.386,0.325,0.046,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.299
0,4294967295,4482,2,aclnnRelu_Relu_Relu,Relu,dynamic,AI_VECTOR_CORE,1753145999159902.370	,2.660,37.350000,48,0,NO,"""1,900,256""",FLOAT,NCL,"""1,900,256""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.362,117661,0.064,0.047,0.675,0.495,0.297,0.218,0.296,0.217,0.0,0.000
0,4294967295,4483,2,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1753145999159982.972	,5.140,78.090000,19,0,NO,"""900,256;4,256;4""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""900,4""",FLOAT,ND,N/A,3.343,114347,0.217,0.065,3.044,0.911,0.293,0.088,0.509,0.152,0.155,0.046,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.497
0,4294967295,4484,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999160028.413	,2.480,40.360000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.797,12940,0.18,0.1,1.047,0.583,0.317,0.176,0.147,0.082,0.051,0.000
0,4294967295,4485,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999160062.293	,3.040,31.270000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239,16122,0.18,0.08,1.042,0.465,0.312,0.139,0.137,0.061,0.157,0.000
0,4294967295,4486,2,aclnnRsubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1753145999160096.714	,1.780,31.460000,4,0,NO,""";1,900,4""",FLOAT;FLOAT,ND;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.116,8036,0.041,0.036,0.436,0.391,0.291,0.261,0.141,0.126,0.107,0.000
0,4294967295,4487,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999160120.094	,3.100,21.470000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.317,16680,0.18,0.078,1.026,0.443,0.335,0.144,0.146,0.063,0.15,0.000
0,4294967295,4488,2,aclnnDiv_RealDivAiCore_RealDiv,RealDiv,dynamic,AI_VECTOR_CORE,1753145999160164.975	,1.640,41.900000,4,0,NO,"""1,900,4;1,900,4""",FLOAT;FLOAT,NCL;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.007,7253,0.043,0.042,0.176,0.175,0.231,0.229,0.136,0.135,0.203,0.000
0,4294967295,4489,2,aclnnLog_LogAiCore_Log,Log,dynamic,AI_VECTOR_CORE,1753145999160192.056	,1.500,25.360000,4,0,NO,"""1,900,4""",FLOAT,NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793,5712,0.043,0.055,0.17,0.214,0.123,0.155,0.136,0.172,0.197,0.000
0,4294967295,4490,2,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1753145999160225.517	,1.760,32.000000,4,0,NO,"""1,900,4;1,900,4""",FLOAT;FLOAT,NCL;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038,7473,0.031,0.03,0.173,0.167,0.241,0.232,0.136,0.131,0.2,0.000
0,4294967295,4491,2,aclnnSigmoid_SigmoidAiCore_Sigmoid,Sigmoid,dynamic,AI_VECTOR_CORE,1753145999160249.557	,1.280,22.240000,4,0,NO,"""1,900,4""",FLOAT,NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,4840,0.11,0.164,0.281,0.417,0.113,0.168,0.135,0.2,0.0,0.000
0,4294967295,4492,2,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1753145999160369.139	,8.601,118.470000,24,0,NO,"""900,256;256,256;256""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""900,256""",FLOAT,ND,N/A,7.041,304177,1.413,0.201,5.971,0.848,0.947,0.134,2.597,0.369,0.325,0.046,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.864
0,4294967295,4493,2,aclnnRelu_Relu_Relu,Relu,dynamic,AI_VECTOR_CORE,1753145999160404.340	,3.120,26.399000,48,0,NO,"""1,900,256""",FLOAT,NCL,"""1,900,256""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.624,140296,0.064,0.039,0.867,0.534,0.353,0.217,0.309,0.191,0.0,0.000
