Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnSoftmax_SoftmaxAiCore_SoftmaxV2,AI_VECTOR_CORE,2,2237,80.541,1753145998201526.932	,1753145998201607.473	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,2238,10.121,1753145998201607.493	,1753145998201617.614	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2239,22.24,1753145998201617.654	,1753145998201639.894	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,2240,11.841,1753145998201666.214	,1753145998201678.055	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,2241,51.701,1753145998201678.075	,1753145998201729.776	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2242,21.14,1753145998201729.796	,1753145998201750.936	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2243,31.62,1753145998201769.617	,1753145998201801.237	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2244,12.921,1753145998201806.297	,1753145998201819.218	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2245,9.88,1753145998201847.438	,1753145998201857.318	
0,aclnnRoll_RollAiCore_Roll,AI_VECTOR_CORE,2,2246,8.5,1753145998201875.139	,1753145998201883.639	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2247,8.88,1753145998201890.339	,1753145998201899.219	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2248,15.9,1753145998201926.700	,1753145998201942.600	
0,aclnnRoll_RollAiCore_Roll,AI_VECTOR_CORE,2,2249,7.9,1753145998201951.840	,1753145998201959.740	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2250,12.64,1753145998201976.321	,1753145998201988.961	
0,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,2,2251,6.78,1753145998202038.902	,1753145998202045.682	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2252,11.36,1753145998202143.024	,1753145998202154.384	
0,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,2,2253,32.16,1753145998202168.205	,1753145998202200.365	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2254,65.041,1753145998202225.686	,1753145998202290.727	
0,aclnnGelu_Gelu_Gelu,AI_VECTOR_CORE,2,2255,21.581,1753145998202309.287	,1753145998202330.868	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2256,63.941,1753145998202346.528	,1753145998202410.469	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2257,11.101,1753145998202410.489	,1753145998202421.590	
0,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,2,2258,30.66,1753145998202421.610	,1753145998202452.270	
0,aclnnConstantPadNd_PadV3AiCore_MemSet,AI_VECTOR_CORE,2,2259,11.181,1753145998202507.491	,1753145998202518.672	
0,aclnnConstantPadNd_PadV3AiCore_PadV3,MIX_AIV,2,2260,27.32,1753145998202523.032	,1753145998202550.352	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2261,12.92,1753145998202579.473	,1753145998202592.393	
