Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,FloorDiv,AI_VECTOR_CORE,15,20.54,1.28,1.369,1.5,0.028
0,LogicalOr,AI_VECTOR_CORE,10,17.1,1.26,1.71,2.3,0.023
0,Muls,AI_VECTOR_CORE,12,15.4,1.14,1.283,1.44,0.021
0,GatherV2,AI_VECTOR_CORE,3,13.0,3.86,4.333,4.7,0.018
0,TopKV2,MIX_AIV,1,11.06,11.06,11.06,11.06,0.015
0,Greater,AI_VECTOR_CORE,1,10.0,10.0,10.0,10.0,0.014
0,OnesLike,AI_VECTOR_CORE,1,9.26,9.26,9.26,9.26,0.013
0,NonZero,MIX_AIV,1,9.02,9.02,9.02,9.02,0.012
0,Less,AI_VECTOR_CORE,1,8.96,8.96,8.96,8.96,0.012
0,Eye,AI_VECTOR_CORE,1,8.6,8.6,8.6,8.6,0.012
0,LogicalAnd,AI_VECTOR_CORE,1,8.261,8.261,8.261,8.261,0.011
0,ReduceProd,MIX_AIV,1,3.44,3.44,3.44,3.44,0.005
0,Tanh,AI_VECTOR_CORE,1,3.42,3.42,3.42,3.42,0.005
